estimates,runtime,forced,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,true_avgs,absolute_error,normalized_error,relative_error
789850918.0,0.0913,-1,1,1,13,13,13,13,1,5,3,4,0,25,789850893.0,1316.562976927462,31594035.72
798425059.0,0.1424,-1,1,1,17,17,17,17,6,4,3,4,0,25,798425034.0,1330.854784026243,31937001.36
943477735.0,5.0516,-1,1,1,5401,682,682,682,487,176,18,1,0,25,943477710.0,1572.6358399423937,37739108.4
-725663385.0,8.0364,-1,1,1,8353,1126,1126,1126,1003,78,39,6,0,25,725663410.0,1209.572069594322,29026536.4
1582856665.0,0.0837,-1,1,1,1,1,1,1,0,0,0,0,1,25,1582856640.0,2638.384622308454,63314265.6
-1510004476.0,6.5937,-1,1,1,8257,784,784,784,499,233,49,3,0,25,1510004501.0,2516.9510329469576,60400180.04
-1175062306.0,21.8688,-1,1,1,18981,3873,3873,3873,1789,2060,7,17,0,20,1175062326.0,1958.6526617927973,58753116.3
1583415194.0,0.2509,-1,1,1,22,22,22,22,4,5,5,7,1,29,1583415165.0,2639.315599715969,54600522.93103448
607536945.0,3.6197,-1,462,308,5,5,1540,1251,242,493,516,0,0,23,607536922.0,1012.6729306890425,26414648.782608695
-685375060.0,19.2129,-1,1,1,19779,3234,3234,3234,1141,2066,10,17,0,27,685375087.0,1142.4174775892016,25384262.48148148
156268962.0,3.056,-1,1,1,883,882,882,581,312,259,6,4,0,18,156268944.0,260.4768924581704,8681608.0
203880541.0,0.1261,-1,1,1,17,17,17,9,3,4,0,2,0,25,203880516.0,339.83824220664275,8155220.64
-584053074.0,3.13,-1,1,1,5401,179,179,179,120,42,12,5,0,25,584053099.0,973.5289198478499,23362123.96
1772373648.0,3.795,-1,1,1,919,917,917,917,611,260,46,0,0,30,1772373618.0,2954.2810009101,59079120.6
235570972.0,2.2029,-1,1,1,649,644,644,351,315,0,32,4,0,29,235570943.0,392.6614310907533,8123135.9655172415
12494960.0,0.0563,-1,1,1,4,4,4,4,1,2,0,1,0,19,12494941.0,20.82719265785903,657628.4736842106
1310207626.0,0.0632,-1,1,1,9,9,9,9,1,0,4,4,0,25,1310207601.0,2183.9195661522767,52408304.04
1296597703.0,0.1004,-1,1,1,17,17,17,17,6,4,3,4,0,25,1296597678.0,2161.23386572523,51863907.12
1603228259.0,0.031,-1,1,1,1,1,1,1,0,0,0,0,1,25,1603228234.0,2672.3410141782265,64129129.36
785418226.0,0.1775,-1,1,1,1,1,1,1,0,0,0,0,1,25,785418201.0,1309.1743441778597,31416728.04
-1128994860.0,0.0364,-1,1,1,1,1,1,1,0,0,0,0,1,25,1128994885.0,1881.8651468328183,45159795.4
91288777.0,0.5272,-1,54,36,5,5,180,144,28,57,59,0,0,30,91288747.0,152.16464977814226,3042958.2333333334
1671649695.0,7.5813,-1,7,7,5497,702,4914,867,102,429,294,42,0,25,1671649670.0,2786.38928615481,66865986.8
792290824.0,0.2194,-1,1,1,17,17,17,17,6,4,3,4,0,25,792290799.0,1320.6299342927723,31691631.96
799573000.0,2.3305,-1,1,1,2521,256,256,256,42,181,23,10,0,25,799572975.0,1332.7682295052455,31982919.0
1358541079.0,21.4068,-1,1,1,30107,2677,2677,2677,72,1739,802,64,0,26,1358541053.0,2264.4841815933087,52251578.961538464
665752464.0,0.3864,-1,1,1,13,13,13,9,1,4,0,4,0,25,665752439.0,1109.7094663746345,26630097.56
1632357159.0,46.4031,-1,1,1,108781,2299,2299,2299,354,1252,625,68,0,32,1632357127.0,2720.8945100627734,51011160.21875
1366958617.0,3.9037,-1,1,1,919,917,917,917,611,260,46,0,0,23,1366958594.0,2278.514959978931,59432982.347826086
1131576531.0,3.2039,-1,1,1,5401,164,164,164,120,28,9,7,0,25,1131576506.0,1886.1683218487367,45263060.24
1553729096.0,0.3001,-1,21,7,17,17,119,56,28,0,14,14,0,25,1553729071.0,2589.8333333333335,62149162.84
463505672.0,12.4433,-1,1,1,16319,2451,2451,1171,946,27,182,16,0,28,463505644.0,772.5943920497922,16553773.0
510919043.0,3.6868,-1,378,252,9,9,2268,955,29,0,439,487,0,25,510919018.0,851.625375457967,20436760.72
1299152608.0,0.2078,-1,1,1,9,9,9,9,1,0,4,4,0,25,1299152583.0,2165.492509176009,51966103.32
986273680.0,5.2125,-1,1,1,8257,240,240,240,210,21,9,0,0,25,986273655.0,1643.97026172879,39450946.2
666256223.0,4.5997,-1,1,1,8353,215,215,169,134,14,15,6,0,25,666256198.0,1110.5491570739448,26650247.92
223387792.0,3.2076,-1,1,1,937,933,933,598,334,254,6,4,0,27,223387765.0,372.35390059573217,8273620.925925926
190507332.0,3.4808,-1,1,1,973,971,971,636,336,254,46,0,0,23,190507309.0,317.5471118489701,8282926.478260869
839094194.0,3.9114,-1,7,7,5401,127,889,386,274,49,42,21,0,25,839094169.0,1398.644132521244,33563766.76
1595133626.0,0.0747,-1,3,1,1,1,1,1,0,0,0,0,1,25,1595133601.0,2658.8484749989166,63805344.04
1586116081.0,3.835,-1,1,1,937,931,931,931,667,254,6,4,0,27,1586116054.0,2643.8175766000927,58745039.03703704
-949497000.0,24.9461,-1,1,1,20134,4186,4186,4186,2016,1836,334,0,0,24,949497024.0,1582.6691336046965,39562376.0
-1773377750.0,16.198,-1,1,1,16481,2271,2271,2271,2071,4,183,13,0,24,1773377774.0,2955.954778358953,73890740.58333333
1318960102.0,5.1634,-1,1,1,973,969,969,969,669,254,46,0,0,23,1318960079.0,2198.5086342831046,57346090.39130435
715383858.0,4.6465,-1,1,1,8257,281,281,218,177,28,6,7,0,25,715383833.0,1192.4375564645445,28615353.32
1395859588.0,72.417,-1,7,7,112969,3318,23226,10056,347,1156,8217,336,0,27,1395859561.0,2326.6885374057815,51698502.25925926
