baseline_runtimes,runtimes,true_counts,estimates,relevant_nodes,cat_regions,b_adic_cubes,num_regions,candidate_regions,query_regions,level_0_queries,level_1_queries,level_2_queries,level_3_queries,level_4_queries,level_5_queries,level_6_queries,absolute_error,normalized_error,relative_error,total_sketch_queries
0.020824909210205078,0.0012211799621582031,151188,151200.0,1,1,9,9,9,9,1,0,4,4,0,0,0,12.0,2.0002200242026623e-05,7.937137868084769e-05,28
0.019990921020507812,0.027143001556396484,26701,28319.0,1,1,8257,240,240,240,210,21,9,0,0,0,0,1618.0,0.002696963332633256,0.060596981386464924,8738
0.030565500259399414,0.030428409576416016,18111,19195.0,1,1,8353,215,215,169,134,14,15,6,0,0,0,1084.0,0.0018068654218630715,0.05985312793330021,8738
0.025519847869873047,0.00887608528137207,5512,9012.0,1,1,937,933,933,598,334,254,6,4,0,0,0,3500.0,0.005833975070591098,0.634978229317852,2469
0.031842947006225586,0.009388446807861328,5655,9331.0,1,1,973,971,971,636,336,254,46,0,0,0,0,3676.0,0.006127340674140822,0.6500442086648983,2581
0.02846360206604004,0.021657466888427734,22678,24845.0,7,7,5401,127,889,386,274,49,42,21,0,0,0,2167.0,0.0036120639937059743,0.09555516359467325,6683
0.03050971031188965,0.0008542537689208984,42892,42892.0,3,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,6
0.021219253540039062,0.009829998016357422,39177,45078.0,1,1,937,931,931,931,667,254,6,4,0,0,0,5901.0,0.009836081969016593,0.15062409066544147,2800
0.021496057510375977,0.04894280433654785,89626,113300.0,1,1,20134,4186,4186,4186,2016,1836,334,0,0,0,0,23674.0,0.03946100737747819,0.2641421016222971,28507
0.022969722747802734,0.03358340263366699,64165,79078.0,1,1,16481,2271,2271,2271,2071,4,183,13,0,0,0,14913.0,0.024857734350778586,0.23241642640068574,21024
0.02067399024963379,0.008939743041992188,39482,45522.0,1,1,973,969,969,969,669,254,46,0,0,0,0,6040.0,0.010067774121820066,0.1529811053138139,2912
0.02746129035949707,0.025012969970703125,19399,20842.0,1,1,8257,281,281,218,177,28,6,7,0,0,0,1443.0,0.0024052645791037015,0.07438527759162844,8757
0.03516864776611328,0.22974777221679688,37549,65759.0,7,7,112969,3318,23226,10056,347,1156,8217,336,0,0,0,28210.0,0.047021839068964254,0.7512849876161816,146258
0.03772115707397461,0.02532482147216797,5869,6602.0,1,1,15352,304,304,169,70,7,78,14,0,0,0,733.0,0.001221801064783793,0.12489350826375874,15826
0.023135900497436523,0.017993450164794922,132507,133068.0,1,1,5497,104,104,104,60,21,18,5,0,0,0,561.0,0.0009351028613147446,0.004233738594942154,5706
0.03264307975769043,0.0012650489807128906,21452,21488.0,1,1,13,13,13,13,1,5,3,4,0,0,0,36.0,6.000660072607987e-05,0.0016781652060413948,40
0.023886680603027344,0.03484964370727539,28589,30060.0,1,1,425,204,204,204,0,0,0,204,0,0,0,1471.0,0.00245193637966843,0.051453356185945646,834
0.0227200984954834,0.044486045837402344,56397,71494.0,1,1,16712,2314,2314,2314,2073,40,190,11,0,0,0,15097.0,0.02516443475448966,0.26769154387644734,21341
0.03828907012939453,0.0022187232971191406,19819,19911.0,3,3,13,13,39,31,2,12,8,9,0,0,0,92.0,0.00015335020185553745,0.00464201019223977,86
0.020687103271484375,0.0015664100646972656,151208,151297.0,1,1,17,17,17,17,6,4,3,4,0,0,0,89.0,0.00014834965179503078,0.000588593196127189,52
0.022823572158813477,0.0007920265197753906,156457,156479.0,1,1,4,4,4,4,1,2,0,1,0,0,0,22.0,3.667070044371547e-05,0.00014061371495043367,13
0.022437095642089844,0.05825686454772949,38424,41564.0,1,1,25097,1051,1051,1051,111,72,800,68,0,0,0,3140.0,0.0052339090633302995,0.08171975848428066,27200
0.0229341983795166,0.022811174392700195,26759,25590.0,1,1,450,162,162,162,0,0,0,162,0,0,0,1169.0,0.0019485476735774268,0.043686236406442695,775
0.02692246437072754,0.0463864803314209,93539,114178.0,1,1,19497,3815,3815,3815,1481,2307,10,17,0,0,0,20639.0,0.03440211756626562,0.2206459337816312,27128
0.0247042179107666,0.04462933540344238,102620,125553.0,1,1,19564,4165,4165,4165,1626,2189,350,0,0,0,0,22933.0,0.038225871512533045,0.22347495614889884,27895
0.030694007873535156,0.013917922973632812,9947,10350.0,1,1,4849,100,100,79,39,21,18,1,0,0,0,403.0,0.0006717405581280608,0.04051472805871117,5029
0.024616241455078125,0.0012578964233398438,150809,150872.0,1,1,17,17,17,17,6,4,3,4,0,0,0,63.0,0.00010501155127063977,0.0004177469514418901,52
0.02469325065612793,0.006534099578857422,39562,44551.0,1,1,730,727,727,727,670,24,29,4,0,0,0,4989.0,0.008315914750622568,0.12610585915777767,2185
0.021750688552856445,0.0023391246795654297,152077,152178.0,1,1,42,42,42,42,6,5,15,16,0,0,0,101.0,0.0001683518520370574,0.000664137246263406,127
0.0350031852722168,0.0014379024505615234,5334,5355.0,3,1,17,17,17,7,2,2,1,2,0,0,0,21.0,3.500385042354659e-05,0.003937007874015748,44
0.03161978721618652,0.0049250125885009766,5649,8148.0,1,1,676,673,673,384,321,30,29,4,0,0,0,2499.0,0.004165458200402044,0.4423791821561338,1734
0.02560591697692871,0.001081705093383789,21510,21548.0,1,1,13,13,13,13,1,5,3,4,0,0,0,38.0,6.334030076641764e-05,0.0017666201766620177,40
0.019997119903564453,0.0013611316680908203,152235,152296.0,1,1,22,22,22,22,4,5,5,7,1,0,0,61.0,0.000101677851230302,0.00040069629191710185,67
0.03373122215270996,0.0019516944885253906,5272,5314.0,1,1,24,24,24,19,1,5,5,7,1,0,0,42.0,7.000770084709318e-05,0.007966616084977238,68
0.036687374114990234,0.0013802051544189453,0,0.0,7,0,17,17,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,24
0.031226158142089844,0.05499982833862305,28116,55116.0,7,7,16554,2274,15918,4779,3324,59,1319,77,0,0,0,27000.0,0.0450049505445599,0.9603072983354674,37258
0.021249771118164062,0.1386854648590088,38137,48116.0,1,1,102145,2288,2288,2288,359,1236,625,68,0,0,0,9979.0,0.016633496351265306,0.2616619031386842,106722
0.01984429359436035,0.0012125968933105469,149930,149998.0,1,1,17,17,17,17,6,4,3,4,0,0,0,68.0,0.00011334580137148419,0.0004535449876609084,52
0.02433180809020996,0.0005908012390136719,85856,85856.0,1,1,1,1,1,1,0,0,0,0,0,0,1,0.0,0.0,0.0,4
0.020907163619995117,0.017075300216674805,137390,141618.0,1,1,5401,693,693,693,484,152,48,9,0,0,0,4228.0,0.0070474418852740466,0.030773709876992503,6788
0.021785259246826172,0.018463134765625,138498,142851.0,1,1,5497,720,720,720,482,172,58,8,0,0,0,4353.0,0.007255798137795157,0.031430056751722044,6938
0.021780729293823242,0.015587568283081055,59862,62801.0,1,1,5401,524,524,524,240,254,27,3,0,0,0,2939.0,0.0048988722092763535,0.049096254719187465,6450
0.023259639739990234,0.028919458389282227,23709,22818.0,1,1,360,162,162,162,0,0,0,162,0,0,0,891.0,0.0014851633679704769,0.0375806655700367,685
